"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13182","Exceptions breadcrumb link is visible on the page","webkit","Wed Sep 02 10:41:15 UTC 2026","passed","Wed Sep 02 10:41:28 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","5647","Account Settings sub-page loads correctly","msedge","Wed Sep 02 10:07:18 UTC 2026","passed","Wed Sep 02 10:07:23 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","15448","Decision Files sub-page loads correctly","firefox","Wed Sep 02 10:09:52 UTC 2026","passed","Wed Sep 02 10:10:07 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","16345","Saved Filters dropdown is visible and defaults to no preset","webkit","Wed Sep 02 10:37:45 UTC 2026","passed","Wed Sep 02 10:38:02 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","7518","Validate unauthenticated access to protected route is redirected to login","firefox","Wed Sep 02 10:08:39 UTC 2026","passed","Wed Sep 02 10:08:46 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","7665","Verify navigation to ACH via nav menu","chromium","Wed Sep 02 10:09:58 UTC 2026","passed","Wed Sep 02 10:10:05 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","8945","Web Hooks sub-page loads correctly","msedge","Wed Sep 02 10:09:40 UTC 2026","passed","Wed Sep 02 10:09:49 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","7551","Presented Checks breadcrumb link is visible on the page","chromium","Wed Sep 02 10:13:40 UTC 2026","passed","Wed Sep 02 10:13:47 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","26117","Default filter auto-applies after logout and re-login","chromium","Wed Sep 02 10:15:14 UTC 2026","passed","Wed Sep 02 10:15:40 UTC 2026","Exceptions — Default Filter (Serial)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","4574","Validate Login functionality with invalidEmailFormat","chromium","Wed Sep 02 10:06:56 UTC 2026","passed","Wed Sep 02 10:07:01 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","4452","Validate Login functionality with missingUsername","chromium","Wed Sep 02 10:07:12 UTC 2026","passed","Wed Sep 02 10:07:16 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","18574","Column filter menu applies a filter and Clear restores the full row set","firefox","Wed Sep 02 10:24:40 UTC 2026","passed","Wed Sep 02 10:24:59 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","14396","Default Decision Log sub-page loads correctly","firefox","Wed Sep 02 10:12:08 UTC 2026","passed","Wed Sep 02 10:12:22 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","12835","Verify dashboard footer footnote and privacy link are visible","webkit","Wed Sep 02 10:28:19 UTC 2026","passed","Wed Sep 02 10:28:32 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","8739","Saved Filters dropdown is visible and defaults to no preset","msedge","Wed Sep 02 10:13:52 UTC 2026","passed","Wed Sep 02 10:14:01 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","4439","Exceptions breadcrumb link is visible on the page","msedge","Wed Sep 02 10:16:31 UTC 2026","passed","Wed Sep 02 10:16:35 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","16721","Presented Checks breadcrumb link is visible on the page","firefox","Wed Sep 02 10:19:10 UTC 2026","passed","Wed Sep 02 10:19:27 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","14370","Excel export button is visible and enabled","webkit","Wed Sep 02 10:32:09 UTC 2026","passed","Wed Sep 02 10:32:23 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","8242","""View"" (Change Log) link on a row navigates to the entity log","msedge","Wed Sep 02 10:14:01 UTC 2026","passed","Wed Sep 02 10:14:09 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","6407","Validate Login functionality with missingPassword","chromium","Wed Sep 02 10:07:05 UTC 2026","passed","Wed Sep 02 10:07:12 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","8800","Check Approval Rules sub-page loads correctly","msedge","Wed Sep 02 10:08:38 UTC 2026","passed","Wed Sep 02 10:08:46 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","9164","Last page arrow jumps to the final page","chromium","Wed Sep 02 10:11:05 UTC 2026","passed","Wed Sep 02 10:11:15 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","8804","Excel export button is visible and enabled","msedge","Wed Sep 02 10:11:02 UTC 2026","passed","Wed Sep 02 10:11:11 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","6676","Verify all three dashboard view tabs are visible","msedge","Wed Sep 02 10:08:07 UTC 2026","passed","Wed Sep 02 10:08:14 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","27985","Column filter popup applies a filter and Clear restores the full row set","firefox","Wed Sep 02 10:23:23 UTC 2026","passed","Wed Sep 02 10:23:51 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","18905","Next page arrow advances to page 2","firefox","Wed Sep 02 10:15:08 UTC 2026","passed","Wed Sep 02 10:15:27 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","15226","Saved Filters dropdown is visible and defaults to no preset","webkit","Wed Sep 02 10:33:50 UTC 2026","passed","Wed Sep 02 10:34:05 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
