"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14538","Default Decision Log sub-page loads correctly","firefox","Wed Sep 09 10:12:04 UTC 2026","passed","Wed Sep 09 10:12:18 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","7595","Roles/Permissions sub-page loads correctly","msedge","Wed Sep 09 10:08:21 UTC 2026","passed","Wed Sep 09 10:08:29 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","5159","Page size change to 10 updates pagination info in bottom-right pager","chromium","Wed Sep 09 10:14:07 UTC 2026","passed","Wed Sep 09 10:14:12 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","7371","Default filter auto-applies after logout and re-login","msedge","Wed Sep 09 10:23:42 UTC 2026","skipped","Wed Sep 09 10:23:49 UTC 2026","Presented Checks — Default Filter (Serial)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","14370","Default filter auto-applies after logout and re-login","webkit","Wed Sep 09 10:45:50 UTC 2026","skipped","Wed Sep 09 10:46:04 UTC 2026","Issued Checks — Default Filter (Serial)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","6915","Validate Login functionality with invalidEmailFormat","webkit","Wed Sep 09 10:36:54 UTC 2026","passed","Wed Sep 09 10:37:01 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","13553","Presented Checks page loads correctly","webkit","Wed Sep 09 10:36:41 UTC 2026","passed","Wed Sep 09 10:36:54 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","7074","Default Decision Log sub-page loads correctly","chromium","Wed Sep 09 10:10:23 UTC 2026","passed","Wed Sep 09 10:10:30 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","11704","""Edit"" link on a row navigates to the check edit form","firefox","Wed Sep 09 10:35:03 UTC 2026","passed","Wed Sep 09 10:35:15 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","6120","Validate Login functionality with sqlInjection","msedge","Wed Sep 09 10:07:37 UTC 2026","passed","Wed Sep 09 10:07:43 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","16730","Verify chart title changes with selected tab","webkit","Wed Sep 09 10:40:18 UTC 2026","passed","Wed Sep 09 10:40:34 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","10527","""Delete"" on a row shows a confirm modal; Cancel dismisses it without deleting","firefox","Wed Sep 09 10:20:59 UTC 2026","passed","Wed Sep 09 10:21:09 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","11570","Validate Login functionality with correctCredentials","chromium","Wed Sep 09 10:07:35 UTC 2026","passed","Wed Sep 09 10:07:47 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
