"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7061","Verify Combined View shows all chart sections","chromium","Fri Aug 21 15:39:44 EDT 2026","passed","Fri Aug 21 15:39:51 EDT 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","11639","Page size change to 10 updates pagination info in bottom-right pager","firefox","Fri Aug 21 15:46:04 EDT 2026","passed","Fri Aug 21 15:46:15 EDT 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","6741","Clicking a column header sorts ascending, clicking again sorts descending","msedge","Fri Aug 21 13:47:00 EDT 2026","passed","Fri Aug 21 13:47:07 EDT 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","10574","Column filter popup applies a filter and Clear restores the full row set","msedge","Fri Aug 21 13:43:18 EDT 2026","passed","Fri Aug 21 13:43:28 EDT 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","11165","""View"" link on a row opens the Exception Details dialog","firefox","Fri Aug 21 15:50:23 EDT 2026","passed","Fri Aug 21 15:50:34 EDT 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","8397","Decision badge on an already-reviewed row is blocked with a system message","chromium","Fri Aug 21 13:46:26 EDT 2026","passed","Fri Aug 21 13:46:35 EDT 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","19879","Save a filter preset, verify it is auto-selected, then delete it","firefox","Fri Aug 21 13:44:27 EDT 2026","passed","Fri Aug 21 13:44:47 EDT 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","11245","Verify navigation to Issued Checks via nav menu","webkit","Fri Aug 21 15:43:42 EDT 2026","passed","Fri Aug 21 15:43:53 EDT 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","9439","Clicking a column header sorts ascending, clicking again sorts descending","webkit","Fri Aug 21 13:55:21 EDT 2026","passed","Fri Aug 21 13:55:30 EDT 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","6864","Verify Total Exceptions and Total Exception Amount labels are visible","msedge","Fri Aug 21 15:49:44 EDT 2026","passed","Fri Aug 21 15:49:51 EDT 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","7792","""View"" (Change Log) link on a row navigates to the entity log","firefox","Fri Aug 21 13:45:16 EDT 2026","passed","Fri Aug 21 13:45:24 EDT 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","14665","Settings page loads correctly","webkit","Fri Aug 21 15:41:27 EDT 2026","passed","Fri Aug 21 15:41:41 EDT 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","1969","Validate forgot password functionality","msedge","Fri Aug 21 17:25:18 EDT 2026","passed","Fri Aug 21 17:25:20 EDT 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","9736","Verify Total Exceptions and Total Exception Amount labels are visible","firefox","Fri Aug 21 15:40:32 EDT 2026","passed","Fri Aug 21 15:40:42 EDT 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","11097","Column filter popup applies a filter and Clear restores the full row set","chromium","Fri Aug 21 15:43:12 EDT 2026","passed","Fri Aug 21 15:43:23 EDT 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","8021","Excel export button is visible and enabled","msedge","Fri Aug 21 15:52:47 EDT 2026","passed","Fri Aug 21 15:52:55 EDT 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","7067","Clicking a column header sorts ascending, clicking again sorts descending","msedge","Fri Aug 21 15:53:58 EDT 2026","passed","Fri Aug 21 15:54:05 EDT 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","11371","Exceptions page loads correctly","firefox","Fri Aug 21 15:40:27 EDT 2026","passed","Fri Aug 21 15:40:39 EDT 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","9290","Verify chart title changes with selected tab","firefox","Fri Aug 21 15:40:13 EDT 2026","passed","Fri Aug 21 15:40:23 EDT 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","8005","Verify navigation to Exceptions via nav menu","firefox","Fri Aug 21 15:42:14 EDT 2026","passed","Fri Aug 21 15:42:22 EDT 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","13827","Last page arrow jumps to the final page","webkit","Fri Aug 21 15:48:16 EDT 2026","passed","Fri Aug 21 15:48:30 EDT 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","7582","Teller page loads correctly","msedge","Fri Aug 21 15:49:25 EDT 2026","passed","Fri Aug 21 15:49:32 EDT 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","8715","Presented Checks breadcrumb link is visible on the page","firefox","Fri Aug 21 15:48:29 EDT 2026","passed","Fri Aug 21 15:48:38 EDT 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","9591","Typing a page number navigates to that page","chromium","Fri Aug 21 15:42:52 EDT 2026","passed","Fri Aug 21 15:43:02 EDT 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
