"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31401","Save a filter preset, verify it is auto-selected, then delete it","webkit","Thu Sep 03 10:19:50 UTC 2026","passed","Thu Sep 03 10:20:22 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","11738","Excel export button is visible and enabled","msedge","Thu Sep 03 10:32:41 UTC 2026","passed","Thu Sep 03 10:32:53 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","9231","Next page arrow advances to page 2","chromium","Thu Sep 03 10:13:11 UTC 2026","passed","Thu Sep 03 10:13:20 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","18873","File Processing sub-page loads correctly","webkit","Thu Sep 03 10:14:05 UTC 2026","passed","Thu Sep 03 10:14:24 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","10283","Column filter popup applies a filter and Clear restores the full row set","chromium","Thu Sep 03 10:14:45 UTC 2026","passed","Thu Sep 03 10:14:55 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","9731","Grid loads with data rows and key column headers","chromium","Thu Sep 03 10:12:09 UTC 2026","passed","Thu Sep 03 10:12:18 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","6134","Validate Login functionality with sqlInjection","msedge","Thu Sep 03 10:24:06 UTC 2026","passed","Thu Sep 03 10:24:12 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","17527","Saved Filters dropdown is visible and defaults to no preset","firefox","Thu Sep 03 10:18:04 UTC 2026","passed","Thu Sep 03 10:18:22 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","7306","Verify dashboard footer footnote and privacy link are visible","msedge","Thu Sep 03 10:26:37 UTC 2026","passed","Thu Sep 03 10:26:44 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","24789","Next page arrow advances to page 2","webkit","Thu Sep 03 10:23:56 UTC 2026","passed","Thu Sep 03 10:24:21 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","18344","""View"" (Change Log) link on a row navigates to the entity log","firefox","Thu Sep 03 10:26:11 UTC 2026","passed","Thu Sep 03 10:26:29 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","18935","""Delete"" on a row shows a confirm modal; Cancel dismisses it without deleting","firefox","Thu Sep 03 10:26:29 UTC 2026","passed","Thu Sep 03 10:26:48 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","16478","Verify Check Only tab shows Check-specific chart sections","webkit","Thu Sep 03 10:10:57 UTC 2026","passed","Thu Sep 03 10:11:13 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","6005","Verify Combined View shows all chart sections","chromium","Thu Sep 03 10:06:44 UTC 2026","passed","Thu Sep 03 10:06:50 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","11211","Decision Files sub-page loads correctly","msedge","Thu Sep 03 10:25:21 UTC 2026","passed","Thu Sep 03 10:25:32 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","5362","Presented Checks page loads correctly","chromium","Thu Sep 03 10:05:27 UTC 2026","passed","Thu Sep 03 10:05:33 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","5872","File Processing sub-page loads correctly","chromium","Thu Sep 03 10:07:54 UTC 2026","passed","Thu Sep 03 10:08:00 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","17265","Grid View toggle navigates to the open-exceptions grid and shows key column headers","firefox","Thu Sep 03 10:27:21 UTC 2026","passed","Thu Sep 03 10:27:38 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","24907","Home page is accessible and shows dashboard","firefox","Thu Sep 03 10:06:13 UTC 2026","passed","Thu Sep 03 10:06:38 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","14294","Notification Log sub-page loads correctly","firefox","Thu Sep 03 10:13:14 UTC 2026","passed","Thu Sep 03 10:13:28 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","5800","Validate Login functionality with emptyFields","msedge","Thu Sep 03 10:23:48 UTC 2026","passed","Thu Sep 03 10:23:54 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","8381","""Uploaded ACH"" navigates to the uploads page","chromium","Thu Sep 03 10:12:28 UTC 2026","passed","Thu Sep 03 10:12:36 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","10654","Validate Login functionality with correctCredentials","chromium","Thu Sep 03 10:05:09 UTC 2026","passed","Thu Sep 03 10:05:19 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","7046","Navigation tabs to Pre-Decisions, Approvals, and Exception History are visible","chromium","Thu Sep 03 10:15:36 UTC 2026","passed","Thu Sep 03 10:15:43 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","44528","Validate forgot password with unregistered email","firefox","Thu Sep 03 10:08:49 UTC 2026","passed","Thu Sep 03 10:09:33 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","12770","Last page arrow jumps to the final page","msedge","Thu Sep 03 10:29:03 UTC 2026","passed","Thu Sep 03 10:29:16 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","20970","""Delete"" on a row shows a confirm modal; Cancel dismisses it without deleting","webkit","Thu Sep 03 10:21:44 UTC 2026","passed","Thu Sep 03 10:22:05 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
