"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10104","Automatic Check Decision Rules sub-page loads correctly","msedge","Mon Sep 07 10:08:54 UTC 2026","passed","Mon Sep 07 10:09:04 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","5143","Saved Filters dropdown is visible and defaults to no preset","chromium","Mon Sep 07 10:32:56 UTC 2026","passed","Mon Sep 07 10:33:02 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","9246","Validate forgot password with unregistered email","webkit","Mon Sep 07 10:08:07 UTC 2026","passed","Mon Sep 07 10:08:16 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","8022","Verify navigation to Presented Checks via nav menu","msedge","Mon Sep 07 10:09:47 UTC 2026","passed","Mon Sep 07 10:09:55 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","14224","Verify navigation to ACH via nav menu","firefox","Mon Sep 07 10:12:03 UTC 2026","passed","Mon Sep 07 10:12:17 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","4802","Saved Filters dropdown is visible and defaults to no preset","chromium","Mon Sep 07 10:34:54 UTC 2026","passed","Mon Sep 07 10:34:59 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","8784","Verify tab-specific charts are hidden for opposite tab","msedge","Mon Sep 07 10:08:39 UTC 2026","passed","Mon Sep 07 10:08:48 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","10149","Exceptions page loads correctly","msedge","Mon Sep 07 10:06:49 UTC 2026","passed","Mon Sep 07 10:06:59 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","11700","""View"" (Change Log) link on a row navigates to the entity log","msedge","Mon Sep 07 10:13:40 UTC 2026","passed","Mon Sep 07 10:13:52 UTC 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","4938","Page size change to 10 updates pagination info in bottom-right pager","chromium","Mon Sep 07 10:34:26 UTC 2026","passed","Mon Sep 07 10:34:31 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","21427","""Delete"" on a row shows a confirm modal; Cancel dismisses it without deleting","webkit","Mon Sep 07 10:24:35 UTC 2026","passed","Mon Sep 07 10:24:57 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","31514","Save a filter preset, verify it is auto-selected, then delete it","webkit","Mon Sep 07 10:23:00 UTC 2026","passed","Mon Sep 07 10:23:31 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","19448","Exception History grid loads with data rows and key column headers","webkit","Mon Sep 07 10:22:13 UTC 2026","passed","Mon Sep 07 10:22:32 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","18388","Saved Filters dropdown is visible and defaults to no preset","webkit","Mon Sep 07 10:24:55 UTC 2026","passed","Mon Sep 07 10:25:14 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","6079","Validate forgot password functionality","msedge","Mon Sep 07 10:07:03 UTC 2026","passed","Mon Sep 07 10:07:09 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","4870","""View"" (Change Log) link on a row navigates to the entity log","chromium","Mon Sep 07 10:31:39 UTC 2026","passed","Mon Sep 07 10:31:44 UTC 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","8262","Verify dashboard footer footnote and privacy link are visible","msedge","Mon Sep 07 10:09:13 UTC 2026","passed","Mon Sep 07 10:09:21 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","18635","Validate teller presented-check form shows all required fields","webkit","Mon Sep 07 10:19:02 UTC 2026","passed","Mon Sep 07 10:19:21 UTC 2026","Teller - Smoke","specs\Smoke\6-TellerSmoke.spec.ts","",""
"","17013","Presented Checks breadcrumb link is visible on the page","webkit","Mon Sep 07 10:21:56 UTC 2026","passed","Mon Sep 07 10:22:13 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","15190","File Formats sub-page loads correctly","firefox","Mon Sep 07 10:09:45 UTC 2026","passed","Mon Sep 07 10:10:00 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","13475","Grid loads with data rows and key column headers","webkit","Mon Sep 07 10:19:21 UTC 2026","passed","Mon Sep 07 10:19:34 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","7038","Validate Login functionality with incorrectPassword","firefox","Mon Sep 07 10:06:36 UTC 2026","passed","Mon Sep 07 10:06:43 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","18591","Column filter popup applies a filter and Clear restores the full row set","firefox","Mon Sep 07 10:22:11 UTC 2026","passed","Mon Sep 07 10:22:29 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","14650","Decision Files sub-page loads correctly","firefox","Mon Sep 07 10:09:16 UTC 2026","passed","Mon Sep 07 10:09:30 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","5538","Settings page loads correctly","chromium","Mon Sep 07 10:26:14 UTC 2026","passed","Mon Sep 07 10:26:20 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","18823","Save a filter preset, verify it is auto-selected, then delete it","msedge","Mon Sep 07 10:12:52 UTC 2026","passed","Mon Sep 07 10:13:10 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","16651","""Edit"" link on a row navigates to the check edit form","firefox","Mon Sep 07 10:17:05 UTC 2026","passed","Mon Sep 07 10:17:21 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","14868","ACH page loads correctly","firefox","Mon Sep 07 10:07:10 UTC 2026","passed","Mon Sep 07 10:07:25 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","17236","Users sub-page loads correctly","webkit","Mon Sep 07 10:08:19 UTC 2026","passed","Mon Sep 07 10:08:36 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","15043","Pay/Return decision badge navigates to exception history","firefox","Mon Sep 07 10:17:53 UTC 2026","passed","Mon Sep 07 10:18:08 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","24988","Column filter popup applies a filter and Clear restores the full row set","webkit","Mon Sep 07 10:23:51 UTC 2026","passed","Mon Sep 07 10:24:16 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","14577","Settings page loads correctly","webkit","Mon Sep 07 10:07:33 UTC 2026","passed","Mon Sep 07 10:07:47 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","21010","Verify dashboard footer footnote and privacy link are visible","webkit","Mon Sep 07 10:11:29 UTC 2026","passed","Mon Sep 07 10:11:50 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","14027","Search box filters grid and clears correctly","msedge","Mon Sep 07 10:10:55 UTC 2026","passed","Mon Sep 07 10:11:09 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","9636","Typing a page number navigates to that page","chromium","Mon Sep 07 10:30:50 UTC 2026","passed","Mon Sep 07 10:31:00 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","11915","Grid View toggle navigates to the open-exceptions grid and shows key column headers","msedge","Mon Sep 07 10:18:16 UTC 2026","passed","Mon Sep 07 10:18:28 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","11681","Validate session persists after page refresh","msedge","Mon Sep 07 10:07:21 UTC 2026","passed","Mon Sep 07 10:07:32 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","16950","Excel export button is visible and enabled","webkit","Mon Sep 07 10:14:24 UTC 2026","passed","Mon Sep 07 10:14:41 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","25234","Validate Login functionality with correctCredentials","firefox","Mon Sep 07 10:05:58 UTC 2026","passed","Mon Sep 07 10:06:23 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","7655","Default filter auto-applies after logout and re-login","msedge","Mon Sep 07 10:16:25 UTC 2026","skipped","Mon Sep 07 10:16:33 UTC 2026","Exceptions — Default Filter (Serial)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","9503","Validate unauthenticated access to protected route is redirected to login","webkit","Mon Sep 07 10:08:33 UTC 2026","passed","Mon Sep 07 10:08:43 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","8718","Exception History grid loads with data rows and key column headers","chromium","Mon Sep 07 10:34:06 UTC 2026","passed","Mon Sep 07 10:34:15 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","23564","Decision badge on an already-reviewed row is blocked with a system message","firefox","Mon Sep 07 10:22:29 UTC 2026","passed","Mon Sep 07 10:22:53 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","14727","Verify ACH Only tab shows ACH-specific chart sections","webkit","Mon Sep 07 10:09:39 UTC 2026","passed","Mon Sep 07 10:09:54 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
