"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27830","Automatic ACH Decision Rules sub-page loads correctly","firefox","Mon Sep 21 10:15:54 UTC 2026","passed","Mon Sep 21 10:16:22 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","17503","Check Approval Rules sub-page loads correctly","firefox","Mon Sep 21 10:15:36 UTC 2026","passed","Mon Sep 21 10:15:54 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","11484","Grid loads with data rows and key column headers","msedge","Mon Sep 21 10:17:06 UTC 2026","passed","Mon Sep 21 10:17:18 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","21576","ACH Approval Rules sub-page loads correctly","firefox","Mon Sep 21 10:16:22 UTC 2026","passed","Mon Sep 21 10:16:43 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","11890","Exception History grid loads with data rows and key column headers","msedge","Mon Sep 21 10:21:43 UTC 2026","passed","Mon Sep 21 10:21:55 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","16365","Saved Filters dropdown is visible and defaults to no preset","webkit","Mon Sep 21 10:40:20 UTC 2026","passed","Mon Sep 21 10:40:37 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","12692","Column filter popup applies a filter and Clear restores the full row set","chromium","Mon Sep 21 10:22:24 UTC 2026","passed","Mon Sep 21 10:22:37 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","11352","Page size change to 10 updates pagination info in bottom-right pager","msedge","Mon Sep 21 10:18:39 UTC 2026","passed","Mon Sep 21 10:18:51 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","12365","Verify tab-specific charts are hidden for opposite tab","msedge","Mon Sep 21 10:14:31 UTC 2026","passed","Mon Sep 21 10:14:44 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","6640","Validate Login functionality with missingUsername","chromium","Mon Sep 21 10:12:40 UTC 2026","passed","Mon Sep 21 10:12:46 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","12425","Validate Login functionality with correctCredentials","msedge","Mon Sep 21 10:11:39 UTC 2026","passed","Mon Sep 21 10:11:51 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","8344","Verify tab-specific charts are hidden for opposite tab","chromium","Mon Sep 21 10:14:37 UTC 2026","passed","Mon Sep 21 10:14:46 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
