"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14292","Last page arrow jumps to the final page","firefox","Fri Aug 28 10:16:44 UTC 2026","passed","Fri Aug 28 10:16:58 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","15353","Default filter auto-applies after logout and re-login","firefox","Fri Aug 28 10:22:17 UTC 2026","skipped","Fri Aug 28 10:22:33 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","7602","Exceptions breadcrumb link is visible on the page","webkit","Fri Aug 28 10:28:28 UTC 2026","passed","Fri Aug 28 10:28:36 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","12085","Typing a page number navigates to that page","webkit","Fri Aug 28 10:18:03 UTC 2026","passed","Fri Aug 28 10:18:15 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","5012","Validate Login functionality with invalidEmailFormat","firefox","Fri Aug 28 10:08:35 UTC 2026","passed","Fri Aug 28 10:08:40 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","6707","Verify dashboard footer footnote and privacy link are visible","msedge","Fri Aug 28 10:28:28 UTC 2026","passed","Fri Aug 28 10:28:35 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","11341","Validate forgot password functionality with No email","webkit","Fri Aug 28 10:09:36 UTC 2026","passed","Fri Aug 28 10:09:47 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","10749","Column filter popup applies a filter and Clear restores the full row set","msedge","Fri Aug 28 10:31:00 UTC 2026","passed","Fri Aug 28 10:31:11 UTC 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","10363","Validate teller presented-check form shows all required fields","chromium","Fri Aug 28 10:14:22 UTC 2026","passed","Fri Aug 28 10:14:32 UTC 2026","Teller - Smoke","specs\Smoke\6-TellerSmoke.spec.ts","",""
"","7867","Page size change to 10 updates pagination info in bottom-right pager","msedge","Fri Aug 28 10:29:35 UTC 2026","passed","Fri Aug 28 10:29:43 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
