"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16364","Default filter auto-applies after logout and re-login","webkit","Wed Sep 09 14:16:13 UTC 2026","skipped","Wed Sep 09 14:16:29 UTC 2026","Presented Checks — Default Filter (Serial)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","7130","Verify navigation to ACH via nav menu","msedge","Wed Sep 09 14:11:45 UTC 2026","passed","Wed Sep 09 14:11:52 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","18990","Home page is accessible and shows dashboard","webkit","Wed Sep 09 14:03:08 UTC 2026","passed","Wed Sep 09 14:03:27 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","13140","Notification Templates sub-page loads correctly","firefox","Wed Sep 09 14:07:54 UTC 2026","passed","Wed Sep 09 14:08:07 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","17776","Last page arrow jumps to the final page","firefox","Wed Sep 09 14:12:39 UTC 2026","passed","Wed Sep 09 14:12:56 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","17874","Validate teller presented-check form shows all required fields","webkit","Wed Sep 09 14:18:21 UTC 2026","passed","Wed Sep 09 14:18:39 UTC 2026","Teller - Smoke","specs\Smoke\6-TellerSmoke.spec.ts","",""
"","11192","Page size change to 10 updates pagination info in bottom-right pager","chromium","Wed Sep 09 14:35:41 UTC 2026","passed","Wed Sep 09 14:35:53 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","12519","Verify summary KPI values have expected number formats","firefox","Wed Sep 09 14:08:07 UTC 2026","passed","Wed Sep 09 14:08:19 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","16943","Save a filter preset, verify it is auto-selected, then delete it","chromium","Wed Sep 09 14:37:14 UTC 2026","passed","Wed Sep 09 14:37:31 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","16451","Settings page loads correctly","firefox","Wed Sep 09 14:04:40 UTC 2026","passed","Wed Sep 09 14:04:57 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","11426","Last page arrow jumps to the final page","chromium","Wed Sep 09 14:31:41 UTC 2026","passed","Wed Sep 09 14:31:52 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","17242","""Delete"" on a row shows a confirm modal; Cancel dismisses it without deleting","firefox","Wed Sep 09 14:22:11 UTC 2026","passed","Wed Sep 09 14:22:29 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
