"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9626","File Processing sub-page loads correctly","webkit","Fri Sep 25 10:14:41 UTC 2026","passed","Fri Sep 25 10:14:51 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","6603","Validate Login functionality with veryLongInput","firefox","Fri Sep 25 10:14:02 UTC 2026","passed","Fri Sep 25 10:14:09 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","7136","""Edit"" link on a row navigates to the check edit form","msedge","Fri Sep 25 10:17:01 UTC 2026","passed","Fri Sep 25 10:17:08 UTC 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","5334","ACH page loads correctly","msedge","Fri Sep 25 10:11:31 UTC 2026","passed","Fri Sep 25 10:11:36 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","10629","Verify profile menu shows My Info and Logout links","webkit","Fri Sep 25 10:16:16 UTC 2026","passed","Fri Sep 25 10:16:27 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","7380","Validate forgot password functionality","firefox","Fri Sep 25 10:14:09 UTC 2026","passed","Fri Sep 25 10:14:16 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","7978","Branding sub-page loads correctly","webkit","Fri Sep 25 10:12:59 UTC 2026","passed","Fri Sep 25 10:13:07 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","8767","Clicking a column header sorts ascending, clicking again sorts descending","webkit","Fri Sep 25 10:17:42 UTC 2026","passed","Fri Sep 25 10:17:50 UTC 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","4708","Business Clients sub-page loads correctly","chromium","Fri Sep 25 10:27:47 UTC 2026","passed","Fri Sep 25 10:27:52 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","11839","Last page arrow jumps to the final page","firefox","Fri Sep 25 10:20:49 UTC 2026","passed","Fri Sep 25 10:21:01 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
