"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4064","Validate Login functionality with sqlInjection","firefox","Mon Aug 24 20:38:57 UTC 2026","passed","Mon Aug 24 20:39:01 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","4801","Validate Login functionality with xssInUsername","webkit","Mon Aug 24 20:39:43 UTC 2026","passed","Mon Aug 24 20:39:47 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","5097","Validate Login functionality with xssInUsername","firefox","Mon Aug 24 20:39:01 UTC 2026","passed","Mon Aug 24 20:39:06 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","2295","Validate Login functionality with missingPassword","msedge","Mon Aug 24 20:44:14 UTC 2026","passed","Mon Aug 24 20:44:16 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","2510","Validate forgot password functionality","msedge","Mon Aug 24 20:44:25 UTC 2026","passed","Mon Aug 24 20:44:28 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","2402","Validate Login functionality with xssInUsername","chromium","Mon Aug 24 20:38:14 UTC 2026","passed","Mon Aug 24 20:38:16 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","2167","Validate Login functionality with sqlInjection","msedge","Mon Aug 24 20:44:18 UTC 2026","passed","Mon Aug 24 20:44:21 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","4433","Validate Login functionality with sqlInjection","webkit","Mon Aug 24 20:39:38 UTC 2026","passed","Mon Aug 24 20:39:42 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","2272","Validate forgot password functionality with No email","msedge","Mon Aug 24 20:44:28 UTC 2026","passed","Mon Aug 24 20:44:30 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","2239","Validate forgot password with unregistered email","msedge","Mon Aug 24 20:44:30 UTC 2026","passed","Mon Aug 24 20:44:32 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","5472","Validate Login functionality with missingUsername","webkit","Mon Aug 24 20:39:33 UTC 2026","passed","Mon Aug 24 20:39:38 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","2224","Validate Login functionality with invalidEmailFormat","msedge","Mon Aug 24 20:44:09 UTC 2026","passed","Mon Aug 24 20:44:11 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","5479","Validate Login functionality with missingPassword","webkit","Mon Aug 24 20:39:27 UTC 2026","passed","Mon Aug 24 20:39:33 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","9971","Validate session persists after page refresh","webkit","Mon Aug 24 20:40:07 UTC 2026","passed","Mon Aug 24 20:40:17 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","1888","Validate Login functionality with incorrectUsername","msedge","Mon Aug 24 20:44:07 UTC 2026","passed","Mon Aug 24 20:44:09 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","2363","Validate Login functionality with sqlInjection","chromium","Mon Aug 24 20:38:11 UTC 2026","passed","Mon Aug 24 20:38:14 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","2385","Validate Login functionality with missingUsername","msedge","Mon Aug 24 20:44:16 UTC 2026","passed","Mon Aug 24 20:44:18 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
