"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5301","Validate Login functionality with missingPassword","msedge","Thu Sep 10 10:30:58 UTC 2026","passed","Thu Sep 10 10:31:03 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","8247","Default filter auto-applies after logout and re-login","msedge","Thu Sep 10 10:39:06 UTC 2026","skipped","Thu Sep 10 10:39:14 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","15707","Default filter auto-applies after logout and re-login","webkit","Thu Sep 10 10:22:11 UTC 2026","skipped","Thu Sep 10 10:22:27 UTC 2026","Presented Checks — Default Filter (Serial)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","12903","Previous page button returns to page 1, First page button re-enables disabled state","chromium","Thu Sep 10 10:16:53 UTC 2026","passed","Thu Sep 10 10:17:06 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","10639","Default Decision Log sub-page loads correctly","msedge","Thu Sep 10 10:33:27 UTC 2026","passed","Thu Sep 10 10:33:37 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","8306","Validate forgot password functionality with No email","firefox","Thu Sep 10 10:12:00 UTC 2026","passed","Thu Sep 10 10:12:08 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","10485","Default Decision Log sub-page loads correctly","chromium","Thu Sep 10 10:14:04 UTC 2026","passed","Thu Sep 10 10:14:15 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","16809","Typing a page number navigates to that page","firefox","Thu Sep 10 10:19:24 UTC 2026","passed","Thu Sep 10 10:19:41 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","15881","Saved Filters dropdown is visible and defaults to no preset","webkit","Thu Sep 10 10:21:56 UTC 2026","passed","Thu Sep 10 10:22:11 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","25501","ACH Approval Rules sub-page loads correctly","webkit","Thu Sep 10 10:15:58 UTC 2026","passed","Thu Sep 10 10:16:24 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","18108","Page size change to 10 updates pagination info in bottom-right pager","firefox","Thu Sep 10 10:24:05 UTC 2026","passed","Thu Sep 10 10:24:23 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","4242","Pre-Decisions page loads with either records or the empty-state message","msedge","Thu Sep 10 10:40:57 UTC 2026","passed","Thu Sep 10 10:41:01 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","10753","Last page arrow jumps to the final page","msedge","Thu Sep 10 10:35:12 UTC 2026","passed","Thu Sep 10 10:35:23 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","13810","Previous page button returns to page 1, First page button re-enables disabled state","msedge","Thu Sep 10 10:36:00 UTC 2026","passed","Thu Sep 10 10:36:14 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","10934","Typing a page number navigates to that page","chromium","Thu Sep 10 10:20:57 UTC 2026","passed","Thu Sep 10 10:21:08 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","8672","Automatic Check Decision Rules sub-page loads correctly","msedge","Thu Sep 10 10:32:45 UTC 2026","passed","Thu Sep 10 10:32:54 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","8840","Grid View toggle navigates to the open-exceptions grid and shows key column headers","chromium","Thu Sep 10 10:23:32 UTC 2026","passed","Thu Sep 10 10:23:41 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","8648","Validate Login functionality with invalidEmailFormat","webkit","Thu Sep 10 10:11:22 UTC 2026","passed","Thu Sep 10 10:11:31 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","23452","Previous page button returns to page 1, First page button re-enables disabled state","webkit","Thu Sep 10 10:27:16 UTC 2026","passed","Thu Sep 10 10:27:39 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","15026","File Formats sub-page loads correctly","webkit","Thu Sep 10 10:14:09 UTC 2026","passed","Thu Sep 10 10:14:25 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","11412","Grid loads with data rows and key column headers","chromium","Thu Sep 10 10:19:29 UTC 2026","passed","Thu Sep 10 10:19:40 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","26372","Decision badge on an already-reviewed row is blocked with a system message","webkit","Thu Sep 10 10:29:50 UTC 2026","passed","Thu Sep 10 10:30:16 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","18472","""Delete"" on a row shows a confirm modal; Cancel dismisses it without deleting","webkit","Thu Sep 10 10:23:26 UTC 2026","passed","Thu Sep 10 10:23:44 UTC 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","7125","Validate Login functionality with missingUsername","firefox","Thu Sep 10 10:11:21 UTC 2026","passed","Thu Sep 10 10:11:29 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","5301","Validate Login functionality with xssInUsername","msedge","Thu Sep 10 10:31:12 UTC 2026","passed","Thu Sep 10 10:31:18 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","14017","Verify navigation to Settings via nav menu","webkit","Thu Sep 10 10:18:39 UTC 2026","passed","Thu Sep 10 10:18:53 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","29294","Default filter auto-applies after logout and re-login","chromium","Thu Sep 10 10:21:30 UTC 2026","passed","Thu Sep 10 10:22:00 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","15543","Excel export button is visible and enabled","firefox","Thu Sep 10 10:18:14 UTC 2026","passed","Thu Sep 10 10:18:30 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","9194","Branding sub-page loads correctly","chromium","Thu Sep 10 10:12:14 UTC 2026","passed","Thu Sep 10 10:12:23 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","13390","Home page is accessible and shows dashboard","chromium","Thu Sep 10 10:10:35 UTC 2026","passed","Thu Sep 10 10:10:48 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","9123","Exception History grid loads with data rows and key column headers","msedge","Thu Sep 10 10:37:52 UTC 2026","passed","Thu Sep 10 10:38:01 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","6687","Validate Login functionality with caseSensitiveEmail","msedge","Thu Sep 10 10:30:31 UTC 2026","passed","Thu Sep 10 10:30:38 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
