"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17069","Page size change to 10 updates pagination info in bottom-right pager","webkit","Thu Sep 17 10:21:48 UTC 2026","passed","Thu Sep 17 10:22:05 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","11407","""Uploaded Checks"" navigates to the uploads page","msedge","Thu Sep 17 10:16:25 UTC 2026","passed","Thu Sep 17 10:16:36 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","18390","Saved Filters dropdown is visible and defaults to no preset","webkit","Thu Sep 17 10:23:31 UTC 2026","passed","Thu Sep 17 10:23:50 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","15056","Verify navigation to Settings via nav menu","firefox","Thu Sep 17 10:19:30 UTC 2026","passed","Thu Sep 17 10:19:45 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","15076","Column filter popup applies a filter and Clear restores the full row set","msedge","Thu Sep 17 10:18:52 UTC 2026","passed","Thu Sep 17 10:19:07 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","14595","Exceptions page loads correctly","firefox","Thu Sep 17 10:13:19 UTC 2026","passed","Thu Sep 17 10:13:33 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","19273","Excel export button is visible and enabled","webkit","Thu Sep 17 10:22:01 UTC 2026","passed","Thu Sep 17 10:22:20 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","6011","Validate Login functionality with veryLongInput","msedge","Thu Sep 17 10:12:49 UTC 2026","passed","Thu Sep 17 10:12:55 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","20170","""View"" (Change Log) link on a row navigates to the entity log","webkit","Thu Sep 17 10:32:41 UTC 2026","passed","Thu Sep 17 10:33:01 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","21594","Validate Login functionality with correctCredentials","firefox","Thu Sep 17 10:11:52 UTC 2026","passed","Thu Sep 17 10:12:13 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
