"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12144","""View"" (Change Log) link on a row navigates to the entity log","firefox","Mon Aug 31 10:17:11 UTC 2026","passed","Mon Aug 31 10:17:23 UTC 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","7365","Exceptions page loads correctly","msedge","Mon Aug 31 10:05:46 UTC 2026","passed","Mon Aug 31 10:05:53 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","3735","Validate Login functionality with incorrectUsername","msedge","Mon Aug 31 10:05:30 UTC 2026","passed","Mon Aug 31 10:05:34 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","19100","Previous page button returns to page 1, First page button re-enables disabled state","firefox","Mon Aug 31 10:15:04 UTC 2026","passed","Mon Aug 31 10:15:23 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","9048","""Uploaded ACH"" navigates to the uploads page","msedge","Mon Aug 31 10:12:21 UTC 2026","passed","Mon Aug 31 10:12:31 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","6593","Verify delayed data note and force refresh link are visible on dashboard","chromium","Mon Aug 31 10:26:19 UTC 2026","passed","Mon Aug 31 10:26:26 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","12559","Verify navigation to Settings via nav menu","firefox","Mon Aug 31 10:12:24 UTC 2026","passed","Mon Aug 31 10:12:36 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","16227","Last page arrow jumps to the final page","firefox","Mon Aug 31 10:14:48 UTC 2026","passed","Mon Aug 31 10:15:05 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","23339","Next page arrow advances to page 2","firefox","Mon Aug 31 10:19:40 UTC 2026","passed","Mon Aug 31 10:20:03 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","16571","Grid loads with data rows and key column headers","webkit","Mon Aug 31 10:12:37 UTC 2026","passed","Mon Aug 31 10:12:54 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","14367","Presented Checks page loads correctly","firefox","Mon Aug 31 10:05:46 UTC 2026","passed","Mon Aug 31 10:06:00 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","18836","Clicking a column header sorts ascending, clicking again sorts descending","webkit","Mon Aug 31 10:16:40 UTC 2026","passed","Mon Aug 31 10:16:59 UTC 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
