"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16434","""+ Add ACH"" navigates to the add-ACH form","firefox","Thu Sep 24 10:42:13 UTC 2026","passed","Thu Sep 24 10:42:30 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","20010","Typing a page number navigates to that page","webkit","Thu Sep 24 10:29:08 UTC 2026","passed","Thu Sep 24 10:29:28 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","6349","Verify navigation to Presented Checks via nav menu","chromium","Thu Sep 24 10:15:08 UTC 2026","passed","Thu Sep 24 10:15:15 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","6245","Notification Log sub-page loads correctly","chromium","Thu Sep 24 10:14:26 UTC 2026","passed","Thu Sep 24 10:14:32 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","15216","Validate Login functionality with correctCredentials","webkit","Thu Sep 24 10:12:18 UTC 2026","passed","Thu Sep 24 10:12:33 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","14592","Default filter auto-applies after logout and re-login","webkit","Thu Sep 24 10:30:09 UTC 2026","skipped","Thu Sep 24 10:30:24 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","7434","Verify navigation to Settings via nav menu","chromium","Thu Sep 24 10:15:28 UTC 2026","passed","Thu Sep 24 10:15:35 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","9917","Search box filters grid and clears correctly","msedge","Thu Sep 24 10:19:33 UTC 2026","passed","Thu Sep 24 10:19:43 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","6582","Navigation tabs to Pre-Decisions, Approvals, and Exception History are visible","chromium","Thu Sep 24 10:22:45 UTC 2026","passed","Thu Sep 24 10:22:51 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","7330","""Uploaded Checks"" navigates to the uploads page","chromium","Thu Sep 24 10:15:27 UTC 2026","passed","Thu Sep 24 10:15:35 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","6172","Validate Login functionality with incorrectPassword","firefox","Thu Sep 24 10:30:34 UTC 2026","passed","Thu Sep 24 10:30:40 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","14314","""Edit"" link on a row navigates to the check edit form","firefox","Thu Sep 24 10:40:42 UTC 2026","passed","Thu Sep 24 10:40:56 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","7869","Column filter popup applies a filter and Clear restores the full row set","chromium","Thu Sep 24 10:17:32 UTC 2026","passed","Thu Sep 24 10:17:40 UTC 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","8320","Grid loads with data rows and key column headers","msedge","Thu Sep 24 10:14:59 UTC 2026","passed","Thu Sep 24 10:15:07 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","12338","Validate Login functionality with missingUsername","webkit","Thu Sep 24 10:14:00 UTC 2026","passed","Thu Sep 24 10:14:12 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","23832","Default filter auto-applies after logout and re-login","chromium","Thu Sep 24 10:18:10 UTC 2026","passed","Thu Sep 24 10:18:34 UTC 2026","Presented Checks — Default Filter (Serial)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","23789","Column filter popup applies a filter and Clear restores the full row set","firefox","Thu Sep 24 10:40:15 UTC 2026","passed","Thu Sep 24 10:40:39 UTC 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","21826","Column filter menu applies a filter and Clear restores the full row set","webkit","Thu Sep 24 10:31:15 UTC 2026","passed","Thu Sep 24 10:31:36 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","18123","Last page arrow jumps to the final page","webkit","Thu Sep 24 10:22:19 UTC 2026","passed","Thu Sep 24 10:22:37 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","6593","Verify summary KPI values have expected number formats","msedge","Thu Sep 24 10:14:07 UTC 2026","passed","Thu Sep 24 10:14:13 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","11648","Last page arrow jumps to the final page","msedge","Thu Sep 24 10:16:12 UTC 2026","passed","Thu Sep 24 10:16:24 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","9259","""+ Add Check"" navigates to the add-check form","chromium","Thu Sep 24 10:15:18 UTC 2026","passed","Thu Sep 24 10:15:27 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","8754","Verify dashboard tab checked state updates correctly","chromium","Thu Sep 24 10:13:53 UTC 2026","passed","Thu Sep 24 10:14:02 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","6643","Business Clients sub-page loads correctly","msedge","Thu Sep 24 10:12:41 UTC 2026","passed","Thu Sep 24 10:12:47 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","8238","Users sub-page loads correctly","msedge","Thu Sep 24 10:12:47 UTC 2026","passed","Thu Sep 24 10:12:56 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","15246","Save a filter preset, verify it is auto-selected, then delete it","msedge","Thu Sep 24 10:21:02 UTC 2026","passed","Thu Sep 24 10:21:17 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","18990","Home page is accessible and shows dashboard","webkit","Thu Sep 24 10:12:18 UTC 2026","passed","Thu Sep 24 10:12:37 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","8536","Default Decision Log sub-page loads correctly","chromium","Thu Sep 24 10:14:32 UTC 2026","passed","Thu Sep 24 10:14:40 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","5355","Default filter auto-applies after logout and re-login","msedge","Thu Sep 24 10:17:56 UTC 2026","skipped","Thu Sep 24 10:18:02 UTC 2026","Issued Checks — Default Filter (Serial)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
