"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11659","Save a filter preset, verify it is auto-selected, then delete it","msedge","Wed Aug 26 10:16:34 UTC 2026","passed","Wed Aug 26 10:16:45 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","32135","Save a filter preset, verify it is auto-selected, then delete it","webkit","Wed Aug 26 10:23:20 UTC 2026","passed","Wed Aug 26 10:23:52 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","11786","Previous page button returns to page 1, First page button re-enables disabled state","msedge","Wed Aug 26 10:14:43 UTC 2026","passed","Wed Aug 26 10:14:55 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","14116","""View"" (Change Log) link on a row navigates to the entity log","firefox","Wed Aug 26 10:35:28 UTC 2026","passed","Wed Aug 26 10:35:42 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","20585","Clicking a column header sorts ascending, clicking again sorts descending","webkit","Wed Aug 26 10:23:52 UTC 2026","passed","Wed Aug 26 10:24:13 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","12534","Validate Login functionality with correctCredentials","chromium","Wed Aug 26 10:05:59 UTC 2026","passed","Wed Aug 26 10:06:11 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","6821","Pre-Decisions page loads with either records or the empty-state message","chromium","Wed Aug 26 10:18:15 UTC 2026","passed","Wed Aug 26 10:18:22 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","9605","Grid View toggle navigates to the open-exceptions grid and shows key column headers","chromium","Wed Aug 26 10:17:59 UTC 2026","passed","Wed Aug 26 10:18:08 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","8416","API link is visible and points to swagger","msedge","Wed Aug 26 10:09:39 UTC 2026","passed","Wed Aug 26 10:09:48 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","27326","Default filter auto-applies after logout and re-login","chromium","Wed Aug 26 10:12:10 UTC 2026","passed","Wed Aug 26 10:12:37 UTC 2026","Issued Checks — Default Filter (Serial)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","8045","Verify navigation to Exceptions via nav menu","firefox","Wed Aug 26 10:29:37 UTC 2026","passed","Wed Aug 26 10:29:45 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","12669","Validate session persists after page refresh","msedge","Wed Aug 26 10:06:47 UTC 2026","passed","Wed Aug 26 10:06:59 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","9264","Excel export button is visible and enabled","chromium","Wed Aug 26 10:11:01 UTC 2026","passed","Wed Aug 26 10:11:10 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","9738","Last page arrow jumps to the final page","msedge","Wed Aug 26 10:14:23 UTC 2026","passed","Wed Aug 26 10:14:33 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","4540","Validate Login functionality with missingPassword","firefox","Wed Aug 26 10:24:42 UTC 2026","passed","Wed Aug 26 10:24:47 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","11287","Search box filters grid and clears correctly","msedge","Wed Aug 26 10:10:31 UTC 2026","passed","Wed Aug 26 10:10:42 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","9305","Verify ACH Only tab shows ACH-specific chart sections","chromium","Wed Aug 26 10:08:14 UTC 2026","passed","Wed Aug 26 10:08:23 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","15377","Search box filters grid and clears correctly","firefox","Wed Aug 26 10:36:40 UTC 2026","passed","Wed Aug 26 10:36:55 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","11225","Column filter popup applies a filter and Clear restores the full row set","msedge","Wed Aug 26 10:12:32 UTC 2026","passed","Wed Aug 26 10:12:43 UTC 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","18409","Excel export button is visible and enabled","webkit","Wed Aug 26 10:20:50 UTC 2026","passed","Wed Aug 26 10:21:08 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","5159","Validate Login functionality with invalidEmailFormat","firefox","Wed Aug 26 10:24:33 UTC 2026","passed","Wed Aug 26 10:24:38 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","12508","Verify dashboard footer footnote and privacy link are visible","firefox","Wed Aug 26 10:28:20 UTC 2026","passed","Wed Aug 26 10:28:32 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","10462","Pay/Return decision badge navigates to exception history","chromium","Wed Aug 26 10:13:56 UTC 2026","passed","Wed Aug 26 10:14:07 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","18211","Last page arrow jumps to the final page","webkit","Wed Aug 26 10:18:09 UTC 2026","passed","Wed Aug 26 10:18:27 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
