"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11024","Exceptions page loads correctly","msedge","Tue Aug 25 18:48:28 UTC 2026","passed","Tue Aug 25 18:48:39 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","16238","API link is visible and points to swagger","webkit","Tue Aug 25 18:35:59 UTC 2026","passed","Tue Aug 25 18:36:16 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","14612","Validate Login functionality with caseSensitiveEmail","webkit","Tue Aug 25 18:29:30 UTC 2026","passed","Tue Aug 25 18:29:44 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","29614","Last page arrow jumps to the final page","firefox","Tue Aug 25 18:55:15 UTC 2026","passed","Tue Aug 25 18:55:45 UTC 2026","Exceptions — Smoke","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","18610","Pay/Return decision badge navigates to exception history","webkit","Tue Aug 25 18:43:01 UTC 2026","passed","Tue Aug 25 18:43:19 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","15235","Verify navigation to Settings via nav menu","firefox","Tue Aug 25 18:47:03 UTC 2026","passed","Tue Aug 25 18:47:18 UTC 2026","Home Dashboard","specs\Smoke\3-HomeDashboardSmoke.spec.ts","",""
"","9877","Page size change to 10 updates pagination info in bottom-right pager","msedge","Tue Aug 25 18:52:34 UTC 2026","passed","Tue Aug 25 18:52:43 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","5258","Validate Login functionality with xssInUsername","chromium","Tue Aug 25 18:30:17 UTC 2026","passed","Tue Aug 25 18:30:23 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","17517","Default filter auto-applies after logout and re-login","webkit","Tue Aug 25 18:46:56 UTC 2026","skipped","Tue Aug 25 18:47:14 UTC 2026","ACH — Smoke","specs\Smoke\7-ACHSmoke.spec.ts","",""
"","17127","Clicking a column header sorts ascending, clicking again sorts descending","firefox","Tue Aug 25 18:51:10 UTC 2026","passed","Tue Aug 25 18:51:27 UTC 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","18641","Last page arrow jumps to the final page","webkit","Tue Aug 25 18:38:42 UTC 2026","passed","Tue Aug 25 18:39:01 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","20801","Default filter auto-applies after logout and re-login","chromium","Tue Aug 25 18:35:20 UTC 2026","passed","Tue Aug 25 18:35:41 UTC 2026","Issued Checks — Default Filter (Serial)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","19307","Save a filter preset, verify it is auto-selected, then delete it","firefox","Tue Aug 25 18:50:51 UTC 2026","passed","Tue Aug 25 18:51:10 UTC 2026","Issued Checks — Smoke (Continued)","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
