"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17812","Presented Checks breadcrumb link is visible on the page","webkit","Mon Sep 14 10:44:24 UTC 2026","passed","Mon Sep 14 10:44:42 UTC 2026","Presented Checks — Smoke (Continued)","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","14091","API link is visible and points to swagger","firefox","Mon Sep 14 10:17:52 UTC 2026","passed","Mon Sep 14 10:18:06 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","9710","Approvals page loads with either records or the empty-state message","webkit","Mon Sep 14 10:51:28 UTC 2026","passed","Mon Sep 14 10:51:38 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","18359","Saved Filters dropdown is visible and defaults to no preset","webkit","Mon Sep 14 10:40:48 UTC 2026","passed","Mon Sep 14 10:41:07 UTC 2026","Issued Checks — Smoke","specs\Smoke\4-IssuedChecksSmoke.spec.ts","",""
"","9327","Saved Filters dropdown is visible and defaults to no preset","msedge","Mon Sep 14 10:18:40 UTC 2026","passed","Mon Sep 14 10:18:49 UTC 2026","Presented Checks — Smoke","specs\Smoke\5-PresentedChecksSmoke.spec.ts","",""
"","5216","Validate Login functionality with invalidEmailFormat","msedge","Mon Sep 14 10:11:55 UTC 2026","passed","Mon Sep 14 10:12:00 UTC 2026","","specs\Smoke\1-LoginSmoke.spec.ts","",""
"","18802","Navigation tabs to Pre-Decisions, Approvals, and Exception History are visible","webkit","Mon Sep 14 10:50:33 UTC 2026","passed","Mon Sep 14 10:50:52 UTC 2026","Exceptions — Smoke (Continued)","specs\Smoke\8-ExceptionsSmoke.spec.ts","",""
"","8072","File Formats sub-page loads correctly","chromium","Mon Sep 14 10:12:51 UTC 2026","passed","Mon Sep 14 10:12:59 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","17522","Home page is accessible and shows dashboard","firefox","Mon Sep 14 10:11:33 UTC 2026","passed","Mon Sep 14 10:11:50 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
"","8597","Account Settings sub-page loads correctly","msedge","Mon Sep 14 10:12:33 UTC 2026","passed","Mon Sep 14 10:12:41 UTC 2026","Application Navigation Smoke Tests","specs\Smoke\2-NavigationSmoke.spec.ts","",""
